0011845001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,위대한개츠비와그의친구들,The Great Gatsby and His Friends,3,1,23,남정현, [12-301:수(4)(5)(6)],제12호관 컨벤션센터-301 토론식강의실1[12-301],해당사항없음,N
0011631001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,문학욕망의윤리를말하다,Literature talks about the ethics of desire,3,1,25,최혜림, [12-301:수(7)(8)(9)],제12호관 컨벤션센터-301 토론식강의실1[12-301],해당사항없음,N
0011244001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,현대과학의풍경읽기,Understanding of Modern Science and Technology,3,1,23,정경숙, [12-304:금(4)(5)(6)],제12호관 컨벤션센터-304 토론식강의실2[12-304],해당사항없음,N
0011233001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,프랑켄슈타인과검은고양이를만나다,Frankenstein Encounters Black Cat,3,1,23,남정현, [12-301:화(4)(5)(6)],제12호관 컨벤션센터-301 토론식강의실1[12-301],해당사항없음,N
0011232001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,차라투스트라춤추는별이되어라,Zarathustra Be A Dancing Star,3,1,23,송대현, [12-304:월(7-8A)(8B-9)],제12호관 컨벤션센터-304 토론식강의실2[12-304],해당사항없음,N
0011231001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,일리아스와오딧세이아에서아모르파티,Amor Fati in the Iliad and the Odyssey,3,1,23,송대현, [12-304:목(4-5A)(5B-6)],제12호관 컨벤션센터-304 토론식강의실2[12-304],해당사항없음,N
0011230001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,세상의심장으로자신을브랜드하라,Brand Yourself with the Heart of the World,3,1,23,양근용, [12-301:화(7)(8)(9)],제12호관 컨벤션센터-301 토론식강의실1[12-301],해당사항없음,N
0011229001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,MBTI로찾아가는나의책,My Book that Goes Back to MBTI,3,1,23,박상원, [12-304:화(4-5A)(5B-6)],제12호관 컨벤션센터-304 토론식강의실2[12-304],해당사항없음,N
0010539001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,죄와벌용서그리고구원의문제세미나,Seminar on Guilt and Redemption in Literature and Film,3,1,20,김윤경, [15-211:수(4)(5)(6)],제15호관 인문대학-211 토론식강의실1[15-211],해당사항없음,N
0004339001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,사회과학고전읽기,Reading Social Sience Classics,3,1,60,정은주, [12-203:금(2B-3)(4-5A)],제12호관 컨벤션센터-203 계단강의실(소)[12-203],해당사항없음,N
0004322002,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,과학기술명저읽기,Reading Masterpieces of Science and Technology,3,1,45,정경숙, [12-403:수(4-5A)(5B-6)],제12호관 컨벤션센터-403 계단강의실(소)[12-403],해당사항없음,N
0004322001,학부,2025년도,2학기,핵심교양,핵심교양(INU세미나),전,과학기술명저읽기,Reading Masterpieces of Science and Technology,3,1,45,정경숙, [12-108:목(야1-2A)(야2B-3)],제12호관 컨벤션센터-108 계단강의실(소)-1[12-108],해당사항없음,N
XAA2032002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,서양의역사와문화,WESTERN HISTORY AND CULTURE,3,1,55,안창모, [12-503:목(7)(8)(9)],제12호관 컨벤션센터-503 계단강의실(소)[12-503],해당사항없음,N
XAA2032001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,서양의역사와문화,WESTERN HISTORY AND CULTURE,3,1,55,안창모, [12-503:목(4)(5)(6)],제12호관 컨벤션센터-503 계단강의실(소)[12-503],해당사항없음,N
XAA1490003,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,한국사의이해,UNDERSTANDING OF KOREAN HISTORY,3,1,60,이형우, [12-101:수(7-8A)(8B-9)],제12호관 컨벤션센터-101 용정강의실[12-101],해당사항없음,N
XAA1490002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,한국사의이해,UNDERSTANDING OF KOREAN HISTORY,3,1,45,박미선, [12-501:화(4)(5)(6)],제12호관 컨벤션센터-501 강의실(소)-6[12-501],해당사항없음,N
XAA1490001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,한국사의이해,UNDERSTANDING OF KOREAN HISTORY,3,1,45,박미선, [12-501:화(1)(2)(3)],제12호관 컨벤션센터-501 강의실(소)-6[12-501],해당사항없음,N
XAA1352005,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,심리학의이해,INTRODUCTION TO PSYCOLOGY,3,1,60,서신화, [12-303:월(4-5A)(5B-6)],제12호관 컨벤션센터-303 계단강의실(소)[12-303],해당사항없음,N
XAA1352004,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,심리학의이해,INTRODUCTION TO PSYCOLOGY,3,1,60,서신화, [12-303:화(4-5A)(5B-6)],제12호관 컨벤션센터-303 계단강의실(소)[12-303],해당사항없음,N
XAA1352003,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,심리학의이해,INTRODUCTION TO PSYCOLOGY,3,1,45,서신화, [12-303:수(야1-2A)(야2B-3)],제12호관 컨벤션센터-303 계단강의실(소)[12-303],해당사항없음,N
XAA1352002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,심리학의이해,INTRODUCTION TO PSYCOLOGY,3,1,65,박준성, [12-101:금(6)(7)(8)],제12호관 컨벤션센터-101 용정강의실[12-101],해당사항없음,N
XAA1352001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,심리학의이해,INTRODUCTION TO PSYCOLOGY,3,1,65,박준성, [12-101:금(2)(3)(4)],제12호관 컨벤션센터-101 용정강의실[12-101],해당사항없음,N
0011234002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,문학이란무엇인가,What is iterature,3,1,46,전미정, [12-108:월(6)(7)(8)],제12호관 컨벤션센터-108 계단강의실(소)-1[12-108],해당사항없음,N
0011234001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,문학이란무엇인가,What is iterature,3,1,46,전미정, [12-108:월(2)(3)(4)],제12호관 컨벤션센터-108 계단강의실(소)-1[12-108],해당사항없음,N
0010350002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,동아시아의역사와문화,East Asian History and Culture,3,1,55,정은주, [12-403:화(7-8A)(8B-9)],제12호관 컨벤션센터-403 계단강의실(소)[12-403],해당사항없음,N
0010350001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,동아시아의역사와문화,East Asian History and Culture,3,1,55,정은주, [12-203:화(2B-3)(4-5A)],제12호관 컨벤션센터-203 계단강의실(소)[12-203],해당사항없음,N
0008631001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,언어의이해,Understanding Languages,3,1,45,박보연, [12-507:화(7-8A)(8B-9)],제12호관 컨벤션센터-507 강의실(소)-4[12-507],해당사항없음,N
0007399004,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,근현대세계와한국사,Modern and Contemporary the World and Korea History,3,1,50,이상의, [12-203:목(2)(3)(4)],제12호관 컨벤션센터-203 계단강의실(소)[12-203],해당사항없음,N
0007399003,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,근현대세계와한국사,Modern and Contemporary the World and Korea History,3,1,50,이상의, [12-303:화(7-8A)(8B-9)],제12호관 컨벤션센터-303 계단강의실(소)[12-303],해당사항없음,N
0007399002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,근현대세계와한국사,Modern and Contemporary the World and Korea History,3,1,50,황묘희, [12-303:금(7)(8)(9)],제12호관 컨벤션센터-303 계단강의실(소)[12-303],해당사항없음,N
0007399001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,근현대세계와한국사,Modern and Contemporary the World and Korea History,3,1,50,황묘희, [12-303:금(4)(5)(6)],제12호관 컨벤션센터-303 계단강의실(소)[12-303],해당사항없음,N
0007030001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,인천의역사지형탐색,Research on the Historical topography of Incheon,3,1,50,이상의, [12-203:수(7-8A)(8B-9)],제12호관 컨벤션센터-203 계단강의실(소)[12-203],해당사항없음,N
0007005001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,자기표현과의사소통,Self-expression and Communication,3,1,40,안호림, [12-203:화(5B-6)(7-8A)],제12호관 컨벤션센터-203 계단강의실(소)[12-203],해당사항없음,N
0005071002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,현대사회와여성,Modern Society and Female,3,1,45,양동숙, [12-505:화(4)(5)(6)],제12호관 컨벤션센터-505 강의실(소)-2[12-505],해당사항없음,N
0005071001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,현대사회와여성,Modern Society and Female,3,1,45,양동숙, [12-505:화(1)(2)(3)],제12호관 컨벤션센터-505 강의실(소)-2[12-505],해당사항없음,N
0005068002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,비판적사고력연습,A Practical Introduction to Critical Thinking,3,1,45,이재유, [12-506:목(야1)(야2)(야3)],제12호관 컨벤션센터-506 강의실(소)-3[12-506],해당사항없음,N
0005068001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,비판적사고력연습,A Practical Introduction to Critical Thinking,3,1,45,이재유, [12-506:목(7)(8)(9)],제12호관 컨벤션센터-506 강의실(소)-3[12-506],해당사항없음,N
0005066002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,논리로보는세상,A Practical Introduction to Logic,3,1,45,서광열, [12-501:월(6)(7)(8)],제12호관 컨벤션센터-501 강의실(소)-6[12-501],해당사항없음,N
0005066001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,논리로보는세상,A Practical Introduction to Logic,3,1,45,서광열, [12-501:월(2)(3)(4)],제12호관 컨벤션센터-501 강의실(소)-6[12-501],해당사항없음,N
0004345002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,근현대문학거장과의만남,Meeting with Great Artists of Modern and Contemporary Literature,3,1,45,김계영, [12-108:목(3)(4)(5)],제12호관 컨벤션센터-108 계단강의실(소)-1[12-108],해당사항없음,N
0004345001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,근현대문학거장과의만남,Meeting with Great Artists of Modern and Contemporary Literature,3,1,45,김계영, [12-108:목(7)(8)(9)],제12호관 컨벤션센터-108 계단강의실(소)-1[12-108],해당사항없음,N
0004323001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,과학기술과인간의대화,Conversation between Scientific Technology and Human,3,1,45,정경숙, [12-108:수(7-8A)(8B-9)],제12호관 컨벤션센터-108 계단강의실(소)-1[12-108],해당사항없음,N
0002645002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,발표와토론,PRESENTATION AND DISCUSSION,3,1,36,안호림, [12-304:수(2)(3)(4)],제12호관 컨벤션센터-304 토론식강의실2[12-304],해당사항없음,N
0002645001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,발표와토론,PRESENTATION AND DISCUSSION,3,1,36,안호림, [12-304:수(6)(7)(8)],제12호관 컨벤션센터-304 토론식강의실2[12-304],해당사항없음,N
0002644002,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,미학의이해,INTRODUCTION TO AESTHETICS,3,1,45,윤영규, [12-503:수(5)(6)(7)],제12호관 컨벤션센터-503 계단강의실(소)[12-503],해당사항없음,N
0002644001,학부,2025년도,2학기,핵심교양,핵심교양(인문),전,미학의이해,INTRODUCTION TO AESTHETICS,3,1,45,윤영규, [12-503:수(2)(3)(4)],제12호관 컨벤션센터-503 계단강의실(소)[12-503],해당사항없음,N
XAA8063001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,인간관계와리더십,HUMAN RELATIONS AND LEADERSHIP,3,1,45,김재득, [12-507:월(4)(5)(6)],제12호관 컨벤션센터-507 강의실(소)-4[12-507],해당사항없음,N
XAA2033002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,경영의이해,INTRODUCTION TO BUSINESS ADMINISTRATION,3,1,45,주현태, [12-504:월(6)(7)(8)],제12호관 컨벤션센터-504 강의실(소)-1[12-504],해당사항없음,N
XAA2033001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,경영의이해,INTRODUCTION TO BUSINESS ADMINISTRATION,3,1,45,주현태, [12-504:월(2)(3)(4)],제12호관 컨벤션센터-504 강의실(소)-1[12-504],해당사항없음,N
XAA1384002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,자본주의의이해,UNDERSTANDING OF CAPITALISM,3,1,50,최윤식, [12-504:화(야1)(야2)(야3)],제12호관 컨벤션센터-504 강의실(소)-1[12-504],해당사항없음,N
XAA1384001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,자본주의의이해,UNDERSTANDING OF CAPITALISM,3,1,50,최윤식, [12-504:화(7)(8)(9)],제12호관 컨벤션센터-504 강의실(소)-1[12-504],해당사항없음,N
0011851001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,INU전공탐구,INU Major Exploration,3,1,250,융합자유전공대학, [11-208:목(6)(7)(8)],제11호관 복지회관-208 소극장 [11-208],해당사항없음,N
0011241002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,취창업진로세미나,Job and Start up Career Seminar,1,1,60,취업경력개발원, [12-105:수(7)],제12호관 컨벤션센터-105 하곡강의실[12-105],해당사항없음,N
0011241001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,취창업진로세미나,Job and Start up Career Seminar,1,1,60,취업경력개발원, [12-105:수(6)],제12호관 컨벤션센터-105 하곡강의실[12-105],해당사항없음,N
0010641006,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,지역사회와사회공헌,Community and social contribution,1,1,80,이지혜, [12-103:월(8)(9)],제12호관 컨벤션센터-103 계단강의실(대)-2[12-103],해당사항없음,N
0010641005,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,지역사회와사회공헌,Community and social contribution,1,1,80,이지혜, [12-103:화(7)(8)],제12호관 컨벤션센터-103 계단강의실(대)-2[12-103],해당사항없음,N
0010641004,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,지역사회와사회공헌,Community and social contribution,1,1,80,이지혜, [12-103:수(야1)(야2)],제12호관 컨벤션센터-103 계단강의실(대)-2[12-103],해당사항없음,N
0010641003,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,지역사회와사회공헌,Community and social contribution,1,1,80,이지혜, [12-103:목(8)(9)],제12호관 컨벤션센터-103 계단강의실(대)-2[12-103],해당사항없음,N
0010641002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,지역사회와사회공헌,Community and social contribution,1,1,80,이지혜, [12-103:목(야1)(야2)],제12호관 컨벤션센터-103 계단강의실(대)-2[12-103],해당사항없음,N
0010641001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,지역사회와사회공헌,Community and social contribution,1,1,80,이지혜, [12-103:금(2)(3)],제12호관 컨벤션센터-103 계단강의실(대)-2[12-103],해당사항없음,N
0009072001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,계량적사고와의사결정,Quantitative Thinking and Decision Science,3,1,60,김창희,,,e-Learning,N
0006433002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,현대사회와빅데이터,The Modern Society and Big Data Analysis,3,1,36,양태연, [12-305:수(6)(7)(8)],제12호관 컨벤션센터-305 스마트강의실2[12-305],해당사항없음,N
0006433001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,현대사회와빅데이터,The Modern Society and Big Data Analysis,3,1,36,양태연, [12-305:수(2)(3)(4)],제12호관 컨벤션센터-305 스마트강의실2[12-305],해당사항없음,N
0006403002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,창의적사고와문제해결,Creative Thinking and Problem Solving,3,1,36,양태연, [12-305:목(7)(8)(9)],제12호관 컨벤션센터-305 스마트강의실2[12-305],해당사항없음,N
0006403001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,창의적사고와문제해결,Creative Thinking and Problem Solving,3,1,36,양태연, [12-305:화(6)(7)(8)],제12호관 컨벤션센터-305 스마트강의실2[12-305],해당사항없음,N
0005077002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,국제정세의이해,Understanding International Affairs,3,1,40,송윤진, [12-502:목(야1-2A)(야2B-3)],제12호관 컨벤션센터-502 강의실(소)-5[12-502],해당사항없음,N
0005077001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,국제정세의이해,Understanding International Affairs,3,1,40,송윤진, [12-502:목(7-8A)(8B-9)],제12호관 컨벤션센터-502 강의실(소)-5[12-502],해당사항없음,N
0005063002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,열린사회와다문화,Open Society and Multi-Culture,3,1,45,정선주, [12-402:수(4)(5)(6)],제12호관 컨벤션센터-402 영어랩실[12-402],해당사항없음,N
0005063001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,열린사회와다문화,Open Society and Multi-Culture,3,1,45,정선주, [12-402:수(1)(2)(3)],제12호관 컨벤션센터-402 영어랩실[12-402],해당사항없음,N
0004617002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,현대사회학의이해,Understanding of Modern Sociology,3,1,45,김민아, [12-506:금(6)(7)(8)],제12호관 컨벤션센터-506 강의실(소)-3[12-506],해당사항없음,N
0004617001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,현대사회학의이해,Understanding of Modern Sociology,3,1,45,김민아, [12-506:금(2)(3)(4)],제12호관 컨벤션센터-506 강의실(소)-3[12-506],해당사항없음,N
0003206003,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,소셜커뮤니케이션,Social Communication,3,1,40,이문학, [12-205:수(2B-3)(4-5A)],제12호관 컨벤션센터-205 강의실(소)-2[12-205],해당사항없음,N
0003206002,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,소셜커뮤니케이션,Social Communication,3,1,45,안지연, [12-505:금(6)(7)(8)],제12호관 컨벤션센터-505 강의실(소)-2[12-505],해당사항없음,N
0003206001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,소셜커뮤니케이션,Social Communication,3,1,45,안지연, [12-505:금(2)(3)(4)],제12호관 컨벤션센터-505 강의실(소)-2[12-505],해당사항없음,N
0002650001,학부,2025년도,2학기,핵심교양,핵심교양(사회),전,현대정치의이해,INTRODUCTION TO CONTEMPORARY POLITICS,3,1,40,송윤진, [12-406:수(2B-3)(4-5A)],제12호관 컨벤션센터-406 강의실(소)-3[12-406],해당사항없음,N
XAA1360002,학부,2025년도,2학기,핵심교양,핵심교양(과학기술),전,현대물리학의이해,UNDERSTANDING MODERN PHYSICS,3,1,45,김용철, [12-506:월(7)(8)(9)],제12호관 컨벤션센터-506 강의실(소)-3[12-506],해당사항없음,N
XAA1360001,학부,2025년도,2학기,핵심교양,핵심교양(과학기술),전,현대물리학의이해,UNDERSTANDING MODERN PHYSICS,3,1,45,김용철, [12-506:월(4)(5)(6)],제12호관 컨벤션센터-506 강의실(소)-3[12-506],해당사항없음,N
0010141001,학부,2025년도,2학기,핵심교양,핵심교양(과학기술),전,4차산업혁명의미래기술,Future Technology of the Fourth Industrial Revolution,2,1,40,김백현, [12-303:수(4)(5)],제12호관 컨벤션센터-303 계단강의실(소)[12-303],해당사항없음,N
0009338003,학부,2025년도,2학기,핵심교양,핵심교양(과학기술),전,문제해결을위한파이썬,Python for Problem Solving,3,1,35,김백현, [12-302:수(6)(7)(8)],제12호관 컨벤션센터-302 스마트강의실1[12-302],해당사항없음,N
0009338002,학부,2025년도,2학기,핵심교양,핵심교양(과학기술),전,문제해결을위한파이썬,Python for Problem Solving,3,1,35,김백현, [12-302:화(4)(5)(6)],제12호관 컨벤션센터-302 스마트강의실1[12-302],해당사항없음,N
0009338001,학부,2025년도,2학기,핵심교양,핵심교양(과학기술),전,문제해결을위한파이썬,Python for Problem Solving,3,1,36,이선아, [12-302:수(2)(3)(4)],제12호관 컨벤션센터-302 스마트강의실1[12-302],해당사항없음,N
0007369001,학부,2025년도,2학기,핵심교양,핵심교양(과학기술),전,알기쉬운통계원리,An Easy Statistics Theory,3,1,45,최원," [05-309:화(2B-3),목(5B-6)]",제5호관 자연과학대학·생명과학기술대학-309 강의실(중)-1[05-309],해당사항없음,N
0007357001,학부,2025년도,2학기,핵심교양,핵심교양(과학기술),전,인문으로수학읽기,Understanding Mathematics with Humanities,3,1,45,이승재," [05-104A:화(7-8A),금(2B-3)]",제5호관 자연과학대학·생명과학기술대학-104A 응용수학실습실[05-104A],해당사항없음,N
0005069001,학부,2025년도,2학기,핵심교양,핵심교양(과학기술),전,영화속바이러스의이해,Understanding Virology in Films,3,1,220,예정용, [12-105:화(2B-3)(4-5A)],제12호관 컨벤션센터-105 하곡강의실[12-105],해당사항없음,N
XAA1386003,학부,2025년도,2학기,핵심교양,핵심교양(예술체육),전,한국미술과문화,KOREAN ART AND CULTURE,3,1,50,구진경, [12-503:목(1)(2)(3)],제12호관 컨벤션센터-503 계단강의실(소)[12-503],해당사항없음,N
XAA1386002,학부,2025년도,2학기,핵심교양,핵심교양(예술체육),전,한국미술과문화,KOREAN ART AND CULTURE,3,1,50,구진경, [12-503:월(7)(8)(9)],제12호관 컨벤션센터-503 계단강의실(소)[12-503],해당사항없음,N
XAA1386001,학부,2025년도,2학기,핵심교양,핵심교양(예술체육),전,한국미술과문화,KOREAN ART AND CULTURE,3,1,50,구진경, [12-503:월(4)(5)(6)],제12호관 컨벤션센터-503 계단강의실(소)[12-503],해당사항없음,N
0011861001,학부,2025년도,2학기,핵심교양,핵심교양(예술체육),전,초급평영,Breaststroke Swimming for Beginners,1,1,22,김민철, [20-110:수(6)(7)],제20호관 스포츠센터-110 수영장[20-110],해당사항없음,N
0011645005,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초독일어,Basic German,3,1,38,최은녕, [15-212:목(야1)(야2)(야3)],제15호관 인문대학-212 토론식강의실2[15-212],해당사항없음,N
0011645004,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초독일어,Basic German,3,1,38,최은녕, [15-212:목(4)(5)(6)],제15호관 인문대학-212 토론식강의실2[15-212],해당사항없음,N
0011645003,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초독일어,Basic German,3,1,38,최은녕, [15-212:목(1)(2)(3)],제15호관 인문대학-212 토론식강의실2[15-212],해당사항없음,N
0011645002,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초독일어,Basic German,3,1,38,이완호, [15-212:화(6)(7)(8)],제15호관 인문대학-212 토론식강의실2[15-212],해당사항없음,N
0011645001,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초독일어,Basic German,3,1,38,이완호, [15-212:화(2)(3)(4)],제15호관 인문대학-212 토론식강의실2[15-212],해당사항없음,N
0011644002,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초스페인어,Basic Spanish,3,1,38,문성주, [15-212:월(6)(7)(8)],제15호관 인문대학-212 토론식강의실2[15-212],해당사항없음,N
0011644001,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초스페인어,Basic Spanish,3,1,38,문성주, [15-212:월(2)(3)(4)],제15호관 인문대학-212 토론식강의실2[15-212],해당사항없음,N
0011640004,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초프랑스어,Basic French,3,1,38,최은희, [12-401:수(야1)(야2)(야3)],제12호관 컨벤션센터-401 영어랩실[12-401],해당사항없음,N
0011640003,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초프랑스어,Basic French,3,1,38,최은희, [12-401:수(6)(7)(8)],제12호관 컨벤션센터-401 영어랩실[12-401],해당사항없음,N
0011640002,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초프랑스어,Basic French,3,1,38,김영은, [12-301:목(6)(7)(8)],제12호관 컨벤션센터-301 토론식강의실1[12-301],해당사항없음,N
0011640001,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,기초프랑스어,Basic French,3,1,38,김영은, [12-301:목(1)(2)(3)],제12호관 컨벤션센터-301 토론식강의실1[12-301],해당사항없음,N
0005414004,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,초급영어글쓰기,Basic English Writing,2,1,40,홍승진, [12-406:월(4)(5)],제12호관 컨벤션센터-406 강의실(소)-3[12-406],해당사항없음,N
0005414003,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,초급영어글쓰기,Basic English Writing,2,1,40,홍승진, [12-406:월(2)(3)],제12호관 컨벤션센터-406 강의실(소)-3[12-406],해당사항없음,N
0005414002,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,초급영어글쓰기,Basic English Writing,2,1,40,김혜경, [12-507:목(5)(6)],제12호관 컨벤션센터-507 강의실(소)-4[12-507],해당사항없음,N
0005414001,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,초급영어글쓰기,Basic English Writing,2,1,40,김혜경, [12-507:목(3)(4)],제12호관 컨벤션센터-507 강의실(소)-4[12-507],해당사항없음,N
0002667004,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,중국어1,BASIC CHINESE,3,1,60,안성재, [12-103:금(4)(5)(6)],제12호관 컨벤션센터-103 계단강의실(대)-2[12-103],해당사항없음,N
0002667003,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,중국어1,BASIC CHINESE,3,1,38,주기평, [12-301:금(7)(8)(9)],제12호관 컨벤션센터-301 토론식강의실1[12-301],해당사항없음,N
0002667002,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,중국어1,BASIC CHINESE,3,1,38,주기평, [12-301:금(4)(5)(6)],제12호관 컨벤션센터-301 토론식강의실1[12-301],해당사항없음,N
0002667001,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,중국어1,BASIC CHINESE,3,1,38,주기평, [12-301:금(1)(2)(3)],제12호관 컨벤션센터-301 토론식강의실1[12-301],해당사항없음,N
0002666005,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,일본어1,BASIC JAPANESE,3,1,38,전혜수, [12-501:수(5)(6)(7)],제12호관 컨벤션센터-501 강의실(소)-6[12-501],해당사항없음,N
0002666004,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,일본어1,BASIC JAPANESE,3,1,38,전혜수, [12-501:수(1)(2)(3)],제12호관 컨벤션센터-501 강의실(소)-6[12-501],해당사항없음,N
0002666003,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,일본어1,BASIC JAPANESE,3,1,38,문인숙, [15-211:목(야1)(야2)(야3)],제15호관 인문대학-211 토론식강의실1[15-211],해당사항없음,N
0002666002,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,일본어1,BASIC JAPANESE,3,1,38,문인숙, [15-211:목(4)(5)(6)],제15호관 인문대학-211 토론식강의실1[15-211],해당사항없음,N
0002666001,학부,2025년도,2학기,핵심교양,핵심교양(외국어),전,일본어1,BASIC JAPANESE,3,1,38,문인숙, [15-211:화(야1)(야2)(야3)],제15호관 인문대학-211 토론식강의실1[15-211],해당사항없음,N